Suite,From,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
ACADEMY RD,,,,,,,,,,
odd,443,447,R3N 1X1,Queenston,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
"",505,505,R3N 0C9,Queenston,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
"",525,525,R3N 2A9,Queenston,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
"",535,545,R3N 0E2,Queenston,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
"",549,591,R3N 0E4,Queenston,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
"",611,621,R3N 0E7,Queenston,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
"",643,695,R3N 0E8,Carpathia,River Heights,Kelvin,Kelvin,Robert H. Smith Sir,Riv,Kel
ADELAIDE ST,,,,,,,,,,
even,52,54,R3A 0V7,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",88,100,R3A 0W2,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",120,130,R3A 0W5,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",148,148,R3A 0W6,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
odd,49,49,R3A 0V8,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",85,85,R3A 0V9,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
"",125,125,R3A 0W4,Victoria-Albert,Hugh John Macdonald,Hugh John Macdonald,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
ADELE AVE,,,,,,,,,,
even,800,800,R3E 0K6,Principal Sparling,General Wolfe,General Wolfe,Daniel McIntyre,Victoria-Albert Sac,Sta,Sis
